              Procedure           Image            Address        Calls Instructions
_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_assignERKS4_@plt  libstdc++.so.6       7fa3df4d0600            1            3
_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_mutateEmmPKcm@plt  libstdc++.so.6       7fa3df4d05f0            1            3
_ZNSt10moneypunctIcLb1EE24_M_initialize_moneypunctEP15__locale_structPKc@plt  libstdc++.so.6       7fa3df4d0510            1            3
_ZNSt12__basic_fileIcEC1EP15pthread_mutex_t@plt  libstdc++.so.6       7fa3df4d0450            1            3
_ZNSt13basic_filebufIcSt11char_traitsIcEEC1Ev@plt  libstdc++.so.6       7fa3df4d03a0            1            3
_ZNSt9basic_iosIcSt11char_traitsIcEE5clearESt12_Ios_Iostate@plt  libstdc++.so.6       7fa3df4d0330            1            3
             fwrite@plt  libstdc++.so.6       7fa3df4d0230            2            4
_ZSt9use_facetISt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEERKT_RKSt6locale@plt  libstdc++.so.6       7fa3df4d0210            4            6
            fopen64@plt  libstdc++.so.6       7fa3df4d0190            1            3
              btowc@plt  libstdc++.so.6       7fa3df4d0080          256          258
_ZNSi6sentryC1ERSib@plt  libstdc++.so.6       7fa3df4cffd0            1            3
_ZNSt13basic_ostreamIwSt11char_traitsIwEE5flushEv@plt  libstdc++.so.6       7fa3df4cfeb0            3            5
_ZNSt9basic_iosIcSt11char_traitsIcEE15_M_cache_localeERKSt6locale@plt  libstdc++.so.6       7fa3df4cfe40            6            8
_ZNSt8ios_base7_M_initEv@plt  libstdc++.so.6       7fa3df4cfc80           10           12
_ZNSt7__cxx118numpunctIcE22_M_initialize_numpunctEP15__locale_struct@plt  libstdc++.so.6       7fa3df4cfc00            1            3
_ZNSt9basic_iosIcSt11char_traitsIcEE4initEPSt15basic_streambufIcS1_E@plt  libstdc++.so.6       7fa3df4cfbe0            6            8
             memcmp@plt  libstdc++.so.6       7fa3df4cfb60            1            3
_ZNSt7__cxx1110moneypunctIcLb1EE24_M_initialize_moneypunctEP15__locale_structPKc@plt  libstdc++.so.6       7fa3df4cfa80            1            3
_ZNKSt12__basic_fileIcE7is_openEv@plt  libstdc++.so.6       7fa3df4cfa30            4            6
_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE12_M_constructIPKcEEvT_S8_St20forward_iterator_tag@plt  libstdc++.so.6       7fa3df4cf9c0            4            6
_ZNSt6locale5facet15_S_get_c_localeEv@plt  libstdc++.so.6       7fa3df4cf940           14           16
_ZNSt11__timepunctIwEC1EPSt17__timepunct_cacheIwEm@plt  libstdc++.so.6       7fa3df4cf930            1            3
     __dynamic_cast@plt  libstdc++.so.6       7fa3df4cf870           62           64
_ZSt9has_facetISt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEEEbRKSt6locale@plt  libstdc++.so.6       7fa3df4cf830            6            8
_ZNSt10moneypunctIwLb1EE24_M_initialize_moneypunctEP15__locale_structPKc@plt  libstdc++.so.6       7fa3df4cf7e0            1            3
             strcmp@plt  libstdc++.so.6       7fa3df4cf6b0           12           14
_ZSt9use_facetISt7codecvtIcc11__mbstate_tEERKT_RKSt6locale@plt  libstdc++.so.6       7fa3df4cf670            1            3
_ZSt9use_facetISt7num_putIwSt19ostreambuf_iteratorIwSt11char_traitsIwEEEERKT_RKSt6locale@plt  libstdc++.so.6       7fa3df4cf580            4            6
        __uselocale@plt  libstdc++.so.6       7fa3df4cf560            2            4
_ZNSt11__timepunctIcE23_M_initialize_timepunctEP15__locale_struct@plt  libstdc++.so.6       7fa3df4cf460            1            3
   _ZNSt6localeD1Ev@plt  libstdc++.so.6       7fa3df4cf440           10           12
_ZNSt7__cxx1110moneypunctIwLb0EE24_M_initialize_moneypunctEP15__locale_structPKc@plt  libstdc++.so.6       7fa3df4cf320            1            3
_ZNSt8messagesIwEC1Em@plt  libstdc++.so.6       7fa3df4cf220            1            3
_ZNSt13basic_filebufIcSt11char_traitsIcEE4openEPKcSt13_Ios_Openmode@plt  libstdc++.so.6       7fa3df4cf1b0            1            3
__cxa_guard_acquire@plt  libstdc++.so.6       7fa3df4cf1a0            1            3
               putc@plt  libstdc++.so.6       7fa3df4cf130            1            3
_ZNSt9basic_iosIwSt11char_traitsIwEE4initEPSt15basic_streambufIwS1_E@plt  libstdc++.so.6       7fa3df4cf120            4            6
_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt  libstdc++.so.6       7fa3df4cf0f0            2            4
_ZNSt11__timepunctIcEC1EPSt17__timepunct_cacheIcEm@plt  libstdc++.so.6       7fa3df4cefe0            1            3
_ZNSt6localeaSERKS_@plt  libstdc++.so.6       7fa3df4cefa0           10           12
_ZSt9has_facetISt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEEbRKSt6locale@plt  libstdc++.so.6       7fa3df4cef60            4            6
      _ZNSo5flushEv@plt  libstdc++.so.6       7fa3df4ceef0            4            6
_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm@plt  libstdc++.so.6       7fa3df4cee60            3            5
_ZNSt10moneypunctIwLb0EE24_M_initialize_moneypunctEP15__locale_structPKc@plt  libstdc++.so.6       7fa3df4ced70            1            3
_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_appendEPKcm@plt  libstdc++.so.6       7fa3df4ced20            1            3
        __newlocale@plt  libstdc++.so.6       7fa3df4ceb20            1            3
_ZNSt14error_categoryD2Ev@plt  libstdc++.so.6       7fa3df4ce9c0            2            4
_ZNSt11__timepunctIwE23_M_initialize_timepunctEP15__locale_struct@plt  libstdc++.so.6       7fa3df4ce9a0            1            3
_ZNSt6locale5_Impl16_M_install_facetEPKNS_2idEPKNS_5facetE@plt  libstdc++.so.6       7fa3df4ce780           32           34
_ZNSt14error_categoryC2Ev@plt  libstdc++.so.6       7fa3df4ce770            2            4
_ZNSt8numpunctIwE22_M_initialize_numpunctEP15__locale_struct@plt  libstdc++.so.6       7fa3df4ce750            1            3
              wctob@plt  libstdc++.so.6       7fa3df4ce6f0          128          130
_ZNSt12__basic_fileIcE6xsgetnEPcl@plt  libstdc++.so.6       7fa3df4ce6d0            1            3
_ZNKSt5ctypeIcE13_M_widen_initEv@plt  libstdc++.so.6       7fa3df4ce6a0            1            3
_ZNKSt5ctypeIwE19_M_convert_to_wmaskEt@plt  libstdc++.so.6       7fa3df4ce5e0           12           14
_ZNSt7__cxx1110moneypunctIcLb0EE24_M_initialize_moneypunctEP15__locale_structPKc@plt  libstdc++.so.6       7fa3df4ce500            1            3
_ZSt9has_facetISt7codecvtIcc11__mbstate_tEEbRKSt6locale@plt  libstdc++.so.6       7fa3df4ce410            1            3
             strlen@plt  libstdc++.so.6       7fa3df4ce3c0            5            7
               free@plt  libstdc++.so.6       7fa3df4ce360            1            3
_ZNSt5ctypeIwE19_M_initialize_ctypeEv@plt  libstdc++.so.6       7fa3df4ce1c0            1            3
_ZSt9use_facetISt7num_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEEERKT_RKSt6locale@plt  libstdc++.so.6       7fa3df4ce100            6            8
_ZNSt7codecvtIcc11__mbstate_tEC1Em@plt  libstdc++.so.6       7fa3df4ce0f0            1            3
   _ZNSt6localeC1Ev@plt  libstdc++.so.6       7fa3df4cdfc0           26           28
_ZNKSt6locale2id5_M_idEv@plt  libstdc++.so.6       7fa3df4cdef0          124          126
_ZNSt8numpunctIcE22_M_initialize_numpunctEP15__locale_struct@plt  libstdc++.so.6       7fa3df4cde30            1            3
       __cxa_atexit@plt  libstdc++.so.6       7fa3df4cdd00            8           10
_ZNSt7codecvtIwc11__mbstate_tEC1Em@plt  libstdc++.so.6       7fa3df4cdc90            1            3
         __wctype_l@plt  libstdc++.so.6       7fa3df4cdc70           10           12
_ZSt15future_categoryv@plt  libstdc++.so.6       7fa3df4cdc50            1            3
_ZNSt6locale5facet18_S_create_c_localeERP15__locale_structPKcS2_@plt  libstdc++.so.6       7fa3df4cdc00            1            3
